file_stem	split	cluster
train_0001	train	111
train_0002	train	186
train_0003	train	108
train_0004	train	142
train_0005	train	62
train_0006	train	172
train_0007	train	76
train_0008	train	79
train_0009	train	197
train_0010	train	164
train_0011	train	110
train_0012	train	7
train_0013	train	22
train_0014	train	124
train_0015	train	51
train_0016	train	101
train_0017	train	22
train_0018	train	66
train_0019	train	25
train_0020	train	170
train_0021	train	1
train_0022	train	90
train_0023	train	180
train_0024	train	47
train_0025	train	209
train_0026	train	146
train_0027	train	78
train_0028	train	136
train_0029	train	26
train_0030	train	87
train_0031	train	87
train_0032	train	124
train_0033	train	135
train_0034	train	165
train_0035	train	111
train_0036	train	204
train_0037	train	69
train_0038	train	152
train_0039	train	142
train_0040	train	146
train_0041	train	70
train_0042	train	175
train_0043	train	171
train_0044	train	185
train_0045	train	82
train_0046	train	159
train_0047	train	49
train_0048	train	84
train_0049	train	84
train_0050	train	185
train_0051	train	90
train_0052	train	18
train_0053	train	6
train_0054	train	27
train_0055	train	5
train_0056	train	203
train_0057	train	115
train_0058	train	94
train_0059	train	130
train_0060	train	167
train_0061	train	104
train_0062	train	20
train_0063	train	157
train_0064	train	193
train_0065	train	158
train_0066	train	197
train_0067	train	189
train_0068	train	82
train_0069	train	13
train_0070	train	3
train_0071	train	115
train_0072	train	69
train_0073	train	136
train_0074	train	196
train_0075	train	66
train_0076	train	78
train_0077	train	66
train_0078	train	188
train_0079	train	26
train_0080	train	70
train_0081	train	51
train_0082	train	84
train_0083	train	106
train_0084	train	100
train_0085	train	155
train_0086	train	159
train_0087	train	87
train_0088	train	22
train_0089	train	78
train_0090	train	47
train_0091	train	138
train_0092	train	130
train_0093	train	12
train_0094	train	62
train_0095	train	27
train_0096	train	178
train_0097	train	10
train_0098	train	159
train_0099	train	1
train_0100	train	175
train_0101	train	34
train_0102	train	33
train_0103	train	180
train_0104	train	147
train_0105	train	65
train_0106	train	84
train_0107	train	171
train_0108	train	175
train_0109	train	6
train_0110	train	192
train_0111	train	26
train_0112	train	98
train_0113	train	103
train_0114	train	12
train_0115	train	167
train_0116	train	81
train_0117	train	139
train_0118	train	5
train_0119	train	87
train_0120	train	115
train_0121	train	10
train_0122	train	138
train_0123	train	193
train_0124	train	7
train_0125	train	84
train_0126	train	52
train_0127	train	196
train_0128	train	62
train_0129	train	13
train_0130	train	102
train_0131	train	100
train_0132	train	138
train_0133	train	42
train_0134	train	164
train_0135	train	57
train_0136	train	197
train_0137	train	92
train_0138	train	147
train_0139	train	46
train_0140	train	42
train_0141	train	7
train_0142	train	5
train_0143	train	160
train_0144	train	132
train_0145	train	94
train_0146	train	37
train_0147	train	204
train_0148	train	24
train_0149	train	200
train_0150	train	115
train_0151	train	194
train_0152	train	59
train_0153	train	84
train_0154	train	20
train_0155	train	115
train_0156	train	8
train_0157	train	8
train_0158	train	79
train_0159	train	121
train_0160	train	171
train_0161	train	3
train_0162	train	200
train_0163	train	87
train_0164	train	152
train_0165	train	94
train_0166	train	57
train_0167	train	194
train_0168	train	25
train_0169	train	165
train_0170	train	2
train_0171	train	195
train_0172	train	76
train_0173	train	76
train_0174	train	8
train_0175	train	52
train_0176	train	150
train_0177	train	136
train_0178	train	26
train_0179	train	193
train_0180	train	106
train_0181	train	28
train_0182	train	155
train_0183	train	47
train_0184	train	150
train_0185	train	6
train_0186	train	28
train_0187	train	26
train_0188	train	186
train_0189	train	59
train_0190	train	96
train_0191	train	92
train_0192	train	167
train_0193	train	7
train_0194	train	133
train_0195	train	14
train_0196	train	150
train_0197	train	100
train_0198	train	74
train_0199	train	195
train_0200	train	125
train_0201	train	73
train_0202	train	201
train_0203	train	87
train_0204	train	169
train_0205	train	135
train_0206	train	62
train_0207	train	7
train_0208	train	150
train_0209	train	87
train_0210	train	150
train_0211	train	130
train_0212	train	115
train_0213	train	61
train_0214	train	40
train_0215	train	165
train_0216	train	96
train_0217	train	78
train_0218	train	159
train_0219	train	47
train_0220	train	195
train_0221	train	22
train_0222	train	20
train_0223	train	106
train_0224	train	160
train_0225	train	11
train_0226	train	158
train_0227	train	135
train_0228	train	209
train_0229	train	160
train_0230	train	26
train_0231	train	185
train_0232	train	90
train_0233	train	112
train_0234	train	195
train_0235	train	82
train_0236	train	66
train_0237	train	61
train_0238	train	162
train_0239	train	108
train_0240	train	42
train_0241	train	46
train_0242	train	118
train_0243	train	159
train_0244	train	186
train_0245	train	186
train_0246	train	96
train_0247	train	104
train_0248	train	82
train_0249	train	123
train_0250	train	2
train_0251	train	6
train_0252	train	12
train_0253	train	13
train_0254	train	167
train_0255	train	150
train_0256	train	152
train_0257	train	189
train_0258	train	180
train_0259	train	204
train_0260	train	76
train_0261	train	12
train_0262	train	51
train_0263	train	61
train_0264	train	193
train_0265	train	142
train_0266	train	90
train_0267	train	158
train_0268	train	103
train_0269	train	20
train_0270	train	159
train_0271	train	111
train_0272	train	24
train_0273	train	37
train_0274	train	143
train_0275	train	6
train_0276	train	18
train_0277	train	135
train_0278	train	106
train_0279	train	115
train_0280	train	193
train_0281	train	167
train_0282	train	7
train_0283	train	180
train_0284	train	118
train_0285	train	96
train_0286	train	73
train_0287	train	185
train_0288	train	188
train_0289	train	7
train_0290	train	193
train_0291	train	98
train_0292	train	73
train_0293	train	12
train_0294	train	42
train_0295	train	79
train_0296	train	146
train_0297	train	112
train_0298	train	49
train_0299	train	124
train_0300	train	35
train_0301	train	170
train_0302	train	82
train_0303	train	180
train_0304	train	33
train_0305	train	7
train_0306	train	96
train_0307	train	186
train_0308	train	6
train_0309	train	26
train_0310	train	70
train_0311	train	126
train_0312	train	121
train_0313	train	101
train_0314	train	61
train_0315	train	169
train_0316	train	142
train_0317	train	160
train_0318	train	13
train_0319	train	111
train_0320	train	162
train_0321	train	6
train_0322	train	115
train_0323	train	112
train_0324	train	2
train_0325	train	59
train_0326	train	20
train_0327	train	12
train_0328	train	87
train_0329	train	92
train_0330	train	157
train_0331	train	193
train_0332	train	46
train_0333	train	125
train_0334	train	162
train_0335	train	2
train_0336	train	66
train_0337	train	33
train_0338	train	196
train_0339	train	186
train_0340	train	50
train_0341	train	101
train_0342	train	6
train_0343	train	179
train_0344	train	130
train_0345	train	170
train_0346	train	28
train_0347	train	180
train_0348	train	123
train_0349	train	152
train_0350	train	180
train_0351	train	152
train_0352	train	169
train_0353	train	13
train_0354	train	135
train_0355	train	72
train_0356	train	82
train_0357	train	119
train_0358	train	103
train_0359	train	82
train_0360	train	7
train_0361	train	76
train_0362	train	135
train_0363	train	46
train_0364	train	70
train_0365	train	112
train_0366	train	180
train_0367	train	96
train_0368	train	81
train_0369	train	147
train_0370	train	45
train_0371	train	195
train_0372	train	73
train_0373	train	128
train_0374	train	2
train_0375	train	49
train_0376	train	188
train_0377	train	119
train_0378	train	13
train_0379	train	152
train_0380	train	103
train_0381	train	111
train_0382	train	111
train_0383	train	13
train_0384	train	152
train_0385	train	13
train_0386	train	49
train_0387	train	172
train_0388	train	170
train_0389	train	65
train_0390	train	175
train_0391	train	170
train_0392	train	81
train_0393	train	61
train_0394	train	59
train_0395	train	59
train_0396	train	13
train_0397	train	5
train_0398	train	130
train_0399	train	104
train_0400	train	169
train_0401	train	185
train_0402	train	80
train_0403	train	74
train_0404	train	177
train_0405	train	74
train_0406	train	87
train_0407	train	35
train_0408	train	69
train_0409	train	195
train_0410	train	1
train_0411	train	7
train_0412	train	159
train_0413	train	42
train_0414	train	136
train_0415	train	69
train_0416	train	42
train_0417	train	193
train_0418	train	28
train_0419	train	128
train_0420	train	18
train_0421	train	90
train_0422	train	170
train_0423	train	158
train_0424	train	7
train_0425	train	124
train_0426	train	103
train_0427	train	62
train_0428	train	10
train_0429	train	24
train_0430	train	35
train_0431	train	73
train_0432	train	13
train_0433	train	196
train_0434	train	102
train_0435	train	7
train_0436	train	155
train_0437	train	28
train_0438	train	195
train_0439	train	150
train_0440	train	70
train_0441	train	47
train_0442	train	47
train_0443	train	155
train_0444	train	151
train_0445	train	104
train_0446	train	139
train_0447	train	115
train_0448	train	20
train_0449	train	186
train_0450	train	90
train_0451	train	70
train_0452	train	102
train_0453	train	160
train_0454	train	3
train_0455	train	22
train_0456	train	126
train_0457	train	55
train_0458	train	95
train_0459	train	12
train_0460	train	66
train_0461	train	142
train_0462	train	192
train_0463	train	74
train_0464	train	62
train_0465	train	124
train_0466	train	106
train_0467	train	42
train_0468	train	98
train_0469	train	161
train_0470	train	98
train_0471	train	13
train_0472	train	138
train_0473	train	144
train_0474	train	104
train_0475	train	33
train_0476	train	42
train_0477	train	96
train_0478	train	192
train_0479	train	72
train_0480	train	178
train_0481	train	49
train_0482	train	69
