file_stem	split	cluster
train_0001	train	20
train_0002	train	144
train_0003	train	91
train_0004	train	120
train_0005	train	288
train_0006	train	127
train_0007	train	17
train_0008	train	397
train_0009	train	107
train_0010	train	191
train_0011	train	337
train_0012	train	74
train_0013	train	201
train_0014	train	203
train_0015	train	182
train_0016	train	158
train_0017	train	201
train_0018	train	14
train_0019	train	46
train_0020	train	381
train_0021	train	351
train_0022	train	377
train_0023	train	208
train_0024	train	156
train_0025	train	256
train_0026	train	204
train_0027	train	270
train_0028	train	101
train_0029	train	126
train_0030	train	133
train_0031	train	237
train_0032	train	203
train_0033	train	68
train_0034	train	150
train_0035	train	20
train_0036	train	23
train_0037	train	346
train_0038	train	241
train_0039	train	120
train_0040	train	204
train_0041	train	125
train_0042	train	112
train_0043	train	61
train_0044	train	258
train_0045	train	65
train_0046	train	240
train_0047	train	21
train_0048	train	165
train_0049	train	165
train_0050	train	333
train_0051	train	102
train_0052	train	235
train_0053	train	18
train_0054	train	184
train_0055	train	28
train_0056	train	240
train_0057	train	200
train_0058	train	355
train_0059	train	85
train_0060	train	197
train_0061	train	349
train_0062	train	104
train_0063	train	84
train_0064	train	207
train_0065	train	249
train_0066	train	355
train_0067	train	99
train_0068	train	290
train_0069	train	86
train_0070	train	293
train_0071	train	10
train_0072	train	346
train_0073	train	101
train_0074	train	134
train_0075	train	14
train_0076	train	270
train_0077	train	14
train_0078	train	298
train_0079	train	126
train_0080	train	125
train_0081	train	182
train_0082	train	165
train_0083	train	142
train_0084	train	245
train_0085	train	366
train_0086	train	155
train_0087	train	237
train_0088	train	291
train_0089	train	386
train_0090	train	156
train_0091	train	67
train_0092	train	85
train_0093	train	178
train_0094	train	288
train_0095	train	184
train_0096	train	408
train_0097	train	56
train_0098	train	240
train_0099	train	351
train_0100	train	112
train_0101	train	95
train_0102	train	315
train_0103	train	208
train_0104	train	401
train_0105	train	41
train_0106	train	165
train_0107	train	61
train_0108	train	112
train_0109	train	18
train_0110	train	299
train_0111	train	126
train_0112	train	356
train_0113	train	119
train_0114	train	178
train_0115	train	197
train_0116	train	393
train_0117	train	73
train_0118	train	28
train_0119	train	305
train_0120	train	10
train_0121	train	56
train_0122	train	67
train_0123	train	207
train_0124	train	74
train_0125	train	165
train_0126	train	303
train_0127	train	134
train_0128	train	48
train_0129	train	86
train_0130	train	188
train_0131	train	242
train_0132	train	67
train_0133	train	163
train_0134	train	191
train_0135	train	75
train_0136	train	107
train_0137	train	157
train_0138	train	401
train_0139	train	407
train_0140	train	84
train_0141	train	317
train_0142	train	28
train_0143	train	168
train_0144	train	390
train_0145	train	355
train_0146	train	59
train_0147	train	23
train_0148	train	310
train_0149	train	278
train_0150	train	200
train_0151	train	358
train_0152	train	79
train_0153	train	165
train_0154	train	104
train_0155	train	368
train_0156	train	40
train_0157	train	40
train_0158	train	397
train_0159	train	259
train_0160	train	61
train_0161	train	335
train_0162	train	278
train_0163	train	305
train_0164	train	6
train_0165	train	355
train_0166	train	75
train_0167	train	358
train_0168	train	46
train_0169	train	150
train_0170	train	185
train_0171	train	138
train_0172	train	17
train_0173	train	17
train_0174	train	40
train_0175	train	303
train_0176	train	1
train_0177	train	101
train_0178	train	126
train_0179	train	207
train_0180	train	142
train_0181	train	374
train_0182	train	366
train_0183	train	156
train_0184	train	1
train_0185	train	18
train_0186	train	32
train_0187	train	416
train_0188	train	144
train_0189	train	79
train_0190	train	327
train_0191	train	157
train_0192	train	197
train_0193	train	74
train_0194	train	93
train_0195	train	70
train_0196	train	1
train_0197	train	245
train_0198	train	141
train_0199	train	275
train_0200	train	239
train_0201	train	231
train_0202	train	340
train_0203	train	305
train_0204	train	49
train_0205	train	68
train_0206	train	48
train_0207	train	317
train_0208	train	1
train_0209	train	305
train_0210	train	1
train_0211	train	85
train_0212	train	200
train_0213	train	181
train_0214	train	2
train_0215	train	359
train_0216	train	309
train_0217	train	270
train_0218	train	240
train_0219	train	156
train_0220	train	138
train_0221	train	291
train_0222	train	104
train_0223	train	142
train_0224	train	300
train_0225	train	89
train_0226	train	249
train_0227	train	68
train_0228	train	256
train_0229	train	300
train_0230	train	126
train_0231	train	319
train_0232	train	102
train_0233	train	123
train_0234	train	275
train_0235	train	65
train_0236	train	14
train_0237	train	181
train_0238	train	62
train_0239	train	91
train_0240	train	277
train_0241	train	407
train_0242	train	159
train_0243	train	155
train_0244	train	144
train_0245	train	144
train_0246	train	327
train_0247	train	413
train_0248	train	65
train_0249	train	213
train_0250	train	185
train_0251	train	18
train_0252	train	178
train_0253	train	86
train_0254	train	197
train_0255	train	1
train_0256	train	372
train_0257	train	99
train_0258	train	208
train_0259	train	23
train_0260	train	17
train_0261	train	178
train_0262	train	182
train_0263	train	181
train_0264	train	160
train_0265	train	120
train_0266	train	102
train_0267	train	249
train_0268	train	119
train_0269	train	104
train_0270	train	240
train_0271	train	20
train_0272	train	310
train_0273	train	59
train_0274	train	348
train_0275	train	18
train_0276	train	235
train_0277	train	68
train_0278	train	142
train_0279	train	10
train_0280	train	207
train_0281	train	197
train_0282	train	74
train_0283	train	208
train_0284	train	159
train_0285	train	327
train_0286	train	37
train_0287	train	333
train_0288	train	298
train_0289	train	74
train_0290	train	160
train_0291	train	27
train_0292	train	231
train_0293	train	178
train_0294	train	405
train_0295	train	113
train_0296	train	204
train_0297	train	123
train_0298	train	395
train_0299	train	203
train_0300	train	116
train_0301	train	66
train_0302	train	65
train_0303	train	208
train_0304	train	389
train_0305	train	317
train_0306	train	327
train_0307	train	144
train_0308	train	18
train_0309	train	126
train_0310	train	125
train_0311	train	7
train_0312	train	259
train_0313	train	158
train_0314	train	181
train_0315	train	49
train_0316	train	120
train_0317	train	300
train_0318	train	86
train_0319	train	20
train_0320	train	62
train_0321	train	18
train_0322	train	389
train_0323	train	123
train_0324	train	414
train_0325	train	79
train_0326	train	104
train_0327	train	178
train_0328	train	133
train_0329	train	403
train_0330	train	84
train_0331	train	160
train_0332	train	407
train_0333	train	239
train_0334	train	62
train_0335	train	172
train_0336	train	14
train_0337	train	286
train_0338	train	134
train_0339	train	144
train_0340	train	63
train_0341	train	158
train_0342	train	18
train_0343	train	419
train_0344	train	85
train_0345	train	381
train_0346	train	374
train_0347	train	208
train_0348	train	34
train_0349	train	58
train_0350	train	208
train_0351	train	372
train_0352	train	49
train_0353	train	86
train_0354	train	68
train_0355	train	326
train_0356	train	65
train_0357	train	53
train_0358	train	119
train_0359	train	290
train_0360	train	74
train_0361	train	17
train_0362	train	68
train_0363	train	407
train_0364	train	166
train_0365	train	123
train_0366	train	208
train_0367	train	327
train_0368	train	354
train_0369	train	401
train_0370	train	82
train_0371	train	138
train_0372	train	37
train_0373	train	404
train_0374	train	172
train_0375	train	395
train_0376	train	298
train_0377	train	53
train_0378	train	86
train_0379	train	241
train_0380	train	119
train_0381	train	20
train_0382	train	20
train_0383	train	86
train_0384	train	241
train_0385	train	335
train_0386	train	21
train_0387	train	127
train_0388	train	66
train_0389	train	41
train_0390	train	112
train_0391	train	66
train_0392	train	287
train_0393	train	181
train_0394	train	79
train_0395	train	79
train_0396	train	335
train_0397	train	28
train_0398	train	85
train_0399	train	361
train_0400	train	49
train_0401	train	258
train_0402	train	154
train_0403	train	141
train_0404	train	173
train_0405	train	141
train_0406	train	305
train_0407	train	116
train_0408	train	346
train_0409	train	275
train_0410	train	351
train_0411	train	74
train_0412	train	240
train_0413	train	163
train_0414	train	101
train_0415	train	346
train_0416	train	163
train_0417	train	207
train_0418	train	374
train_0419	train	404
train_0420	train	235
train_0421	train	377
train_0422	train	66
train_0423	train	249
train_0424	train	74
train_0425	train	203
train_0426	train	119
train_0427	train	288
train_0428	train	56
train_0429	train	310
train_0430	train	116
train_0431	train	37
train_0432	train	335
train_0433	train	134
train_0434	train	188
train_0435	train	74
train_0436	train	366
train_0437	train	374
train_0438	train	138
train_0439	train	1
train_0440	train	166
train_0441	train	156
train_0442	train	156
train_0443	train	366
train_0444	train	297
train_0445	train	413
train_0446	train	73
train_0447	train	389
train_0448	train	104
train_0449	train	144
train_0450	train	102
train_0451	train	125
train_0452	train	188
train_0453	train	300
train_0454	train	293
train_0455	train	201
train_0456	train	7
train_0457	train	313
train_0458	train	58
train_0459	train	178
train_0460	train	14
train_0461	train	120
train_0462	train	299
train_0463	train	141
train_0464	train	48
train_0465	train	203
train_0466	train	142
train_0467	train	405
train_0468	train	356
train_0469	train	13
train_0470	train	356
train_0471	train	335
train_0472	train	67
train_0473	train	151
train_0474	train	361
train_0475	train	286
train_0476	train	163
train_0477	train	327
train_0478	train	302
train_0479	train	83
train_0480	train	408
train_0481	train	21
train_0482	train	346
train_0483	train	23
train_0484	train	416
train_0485	train	59
train_0486	train	377
train_0487	train	73
train_0488	train	86
train_0489	train	17
train_0490	train	305
train_0491	train	297
train_0492	train	126
train_0493	train	419
train_0494	train	79
train_0495	train	297
train_0496	train	102
train_0497	train	248
train_0498	train	278
train_0499	train	107
train_0500	train	151
train_0501	train	208
train_0502	train	40
train_0503	train	120
train_0504	train	253
train_0505	train	297
train_0506	train	163
train_0507	train	7
train_0508	train	217
train_0509	train	249
train_0510	train	126
train_0511	train	156
train_0512	train	59
train_0513	train	2
train_0514	train	141
train_0515	train	313
train_0516	train	305
train_0517	train	85
train_0518	train	102
train_0519	train	53
train_0520	train	39
train_0521	train	46
train_0522	train	315
train_0523	train	305
train_0524	train	357
train_0525	train	49
