beta,uar_train_threshold_mean,uar_train_threshold_std,uar_devel_test_argmax_mean,uar_devel_test_argmax_std,n_seeds
0.0,0.518388,0.00614,0.656792,0.01693,3
0.05,0.518549,0.00592,0.659217,0.01495,3
0.1,0.521866,0.00441,0.640784,0.02237,3
0.25,0.529917,0.00245,0.646121,0.01888,3
0.5,0.552299,0.00532,0.639619,0.02004,3
0.75,0.562782,0.00856,0.650652,0.01951,3
1.0,0.582945,0.01798,0.634566,0.01677,3
1.5,0.607477,0.01507,0.655046,0.02332,3
2.0,0.625634,0.01031,0.675539,0.02082,3
2.5,0.639345,0.00995,0.674306,0.0126,3
3.0,0.648878,0.00876,0.683012,0.00994,3
4.0,0.655157,0.00813,0.687468,0.01109,3
6.0,0.65695,0.00831,0.691704,0.00851,3
8.0,0.655814,0.00384,0.689462,0.00886,3
12.0,0.651797,0.00661,0.691687,0.00304,3
16.0,0.646252,0.00308,0.689525,0.00208,3
