split_seed,partition,n_test,uar,recall_C,recall_NC
42,canonical,4795,0.596428,0.22664,0.966216
1,shadow,4798,0.593799,0.216963,0.970636
2,shadow,4805,0.583071,0.199219,0.966923
3,shadow,4806,0.589261,0.21135,0.967171
5,shadow,4789,0.589078,0.208,0.970156
11,shadow,4786,0.588551,0.21,0.967102
17,shadow,4798,0.589323,0.210317,0.968328
23,shadow,4798,0.563304,0.155512,0.971096
31,shadow,4809,0.586506,0.201172,0.971841
53,shadow,4807,0.586165,0.203523,0.968808
99,shadow,4788,0.58346,0.198397,0.968524
AGGREGATE_shadow,shadow_mean,,0.585252,,
AGGREGATE_shadow,shadow_std,,0.00832,,
