layer,sub_at_1,honesty_prior_weight
0,0.022337254,0.032293785
1,0.0041445163,0.013003753
2,0.037194952,0.06788125
3,0.0,0.01056992
4,0.0052418658,0.013737172
5,0.015495642,0.022937987
6,0.00233978,0.011881721
7,0.028664468,0.044311117
8,0.02497864,0.03685326
9,0.03481224,0.06025733
10,0.022649314,0.032801617
11,0.019194147,0.027597344
12,0.022666888,0.032830454
13,0.011441644,0.0187294
14,0.03783609,0.07009257
15,0.023537418,0.034291003
16,0.035562146,0.06255958
17,0.034179494,0.05838079
18,0.022108516,0.03192655
19,0.025750188,0.038302742
20,0.037002735,0.067231975
21,0.038672604,0.0730864
22,0.037109938,0.067593314
23,0.02511228,0.037100345
24,0.023218561,0.03374864
