component,explained_variance_ratio,cumulative_variance_ratio
0,0.6552654,0.6552654
1,0.048953228,0.7042186
2,0.03253207,0.7367507
3,0.019124927,0.75587565
4,0.01574478,0.77162045
5,0.012525189,0.78414565
6,0.010365085,0.7945107
7,0.00805318,0.8025639
8,0.006852991,0.8094169
9,0.0062845387,0.8157014
10,0.005484435,0.8211859
11,0.004817939,0.82600385
12,0.004588621,0.83059245
13,0.004284179,0.83487666
14,0.0041531725,0.83902985
15,0.0036489295,0.8426788
16,0.0035814436,0.84626025
17,0.0031712218,0.84943146
18,0.003066962,0.8524984
19,0.0028694165,0.85536784
20,0.0027955177,0.85816336
21,0.002573428,0.8607368
22,0.0023969025,0.86313367
23,0.0023919076,0.8655256
24,0.0021281003,0.8676537
25,0.0020048637,0.8696586
26,0.0019433275,0.87160194
27,0.0018906526,0.8734926
28,0.0018016797,0.87529427
29,0.0017651267,0.8770594
30,0.0016221522,0.87868154
31,0.0015944233,0.88027596
32,0.0015209023,0.8817969
33,0.0014578288,0.8832547
34,0.0014097386,0.8846644
35,0.0013315356,0.8859959
36,0.0012765133,0.8872724
37,0.0012375877,0.88851
38,0.0012344308,0.8897444
39,0.0011912915,0.8909357
40,0.001163928,0.8920996
41,0.0011263763,0.89322597
42,0.0010892187,0.8943152
43,0.0010655355,0.89538074
44,0.0010276155,0.8964084
45,0.0009925776,0.897401
46,0.0009686183,0.8983696
47,0.00095673907,0.8993263
48,0.0009085632,0.9002349
49,0.0008864796,0.9011214
50,0.0008697577,0.9019911
51,0.0008558693,0.902847
52,0.0008191408,0.90366614
53,0.0007878386,0.904454
54,0.0007659211,0.9052199
55,0.00075999583,0.90597993
56,0.0007310733,0.906711
57,0.0007258884,0.90743685
58,0.0007079066,0.9081448
59,0.00069938716,0.9088442
60,0.00068561255,0.9095298
61,0.0006712044,0.910201
62,0.0006530396,0.91085404
63,0.00064113317,0.91149515
64,0.0006167716,0.91211194
65,0.0005978042,0.9127097
66,0.0005872932,0.913297
67,0.0005739947,0.913871
68,0.0005613924,0.9144324
69,0.00055333175,0.9149857
70,0.00054587395,0.9155316
71,0.0005364121,0.916068
72,0.00053390756,0.9166019
73,0.00051679625,0.91711867
74,0.00050461944,0.9176233
75,0.000497036,0.9181203
76,0.0004940394,0.9186144
77,0.0004884625,0.91910285
78,0.00047689056,0.91957974
79,0.00046604342,0.9200458
80,0.0004628301,0.9205086
81,0.0004512508,0.9209599
82,0.00044731257,0.9214072
83,0.0004446228,0.9218519
84,0.0004291596,0.922281
85,0.00042088554,0.9227019
86,0.00041766083,0.92311954
87,0.00041001866,0.92352957
88,0.00040245146,0.923932
89,0.00039805027,0.92433006
90,0.0003873304,0.92471737
91,0.0003805625,0.92509794
92,0.00037714886,0.9254751
93,0.00037105288,0.92584616
94,0.00036240031,0.92620856
95,0.0003619225,0.9265705
96,0.00035492564,0.9269254
97,0.00035363316,0.92727906
98,0.00034595543,0.927625
99,0.00034422052,0.9279692
100,0.00033369532,0.9283029
101,0.00033283778,0.9286357
102,0.0003278666,0.9289636
103,0.00032639995,0.92929
104,0.0003204484,0.92961043
105,0.00031505263,0.9299255
106,0.00031305794,0.93023854
107,0.00030687224,0.9305454
108,0.00029836828,0.9308438
109,0.000295912,0.9311397
110,0.0002918922,0.9314316
111,0.00028703734,0.93171865
112,0.00028488718,0.93200356
113,0.00028381214,0.9322874
114,0.00028047888,0.9325679
115,0.00027614934,0.93284404
116,0.00027452435,0.9331186
117,0.00026740378,0.93338597
118,0.00026145982,0.93364745
119,0.00025815226,0.9339056
120,0.00025728162,0.93416286
121,0.00025224156,0.9344151
122,0.0002512148,0.93466634
123,0.00024911514,0.9349154
124,0.000245414,0.9351608
125,0.00024485853,0.9354057
126,0.00024041595,0.9356461
127,0.00023338993,0.9358795
