layer,cold_uar,speaker_top1,n_pseudo,label_gain,speaker_gain,sub_at_1
0,0.612807,0.065611,189,0.112807,0.06032,0.052487
1,0.594049,0.072693,189,0.094049,0.067402,0.026647
2,0.582354,0.066444,189,0.082354,0.061153,0.021201
3,0.5895,0.072485,189,0.0895,0.067194,0.022306
4,0.594049,0.0779,189,0.094049,0.072609,0.021439
5,0.568383,0.072485,189,0.068383,0.067194,0.001189
6,0.566286,0.065611,189,0.066286,0.06032,0.005966
7,0.573101,0.056238,189,0.073101,0.050947,0.022154
8,0.564813,0.050614,189,0.064813,0.045323,0.01949
9,0.556939,0.048948,189,0.056939,0.043657,0.013282
10,0.563025,0.045407,189,0.063025,0.040116,0.022909
11,0.567684,0.059363,189,0.067684,0.054072,0.013612
12,0.573457,0.052281,189,0.073457,0.04699,0.026467
