layer,cold_uar,speaker_top1,n_pseudo,label_gain,speaker_gain,sub_at_1
0,0.612807014165158,0.06561133097271402,189,0.11280701416515804,0.060320325681708725,0.05248668848344931
1,0.5940489095047605,0.07269318891897521,189,0.09404890950476053,0.06740218362796992,0.02664672587679061
2,0.5823543545526411,0.06644449073109769,189,0.08235435455264106,0.0611534854400924,0.021200869112548662
3,0.5894999825755532,0.07248489897937929,189,0.08949998257555325,0.067193893688374,0.02230608888717925
4,0.5940489095047605,0.07790043740887315,189,0.09404890950476053,0.07260943211786786,0.02143947738689267
5,0.5683829288110475,0.07248489897937929,189,0.06838292881104746,0.067193893688374,0.0011890351226734597
6,0.5662864927523472,0.06561133097271402,189,0.06628649275234721,0.060320325681708725,0.0059661670706384895
7,0.5731008270192641,0.05623828369089773,189,0.07310082701926413,0.05094727839989244,0.022153548619371688
8,0.5648134392006031,0.05061445532180796,189,0.06481343920060312,0.04532345003080267,0.01948998916980045
9,0.5569394234525716,0.048948135805040614,189,0.056939423452571636,0.043657130514035324,0.013282292938536312
10,0.5630253699943691,0.04540720683191002,189,0.06302536999436914,0.04011620154090473,0.022909168453464412
11,0.5676841167914808,0.05936263278483649,189,0.06768411679148079,0.0540716274938312,0.013612489297649584
12,0.5734568818310709,0.052280774838575295,189,0.07345688183107091,0.046989769547570004,0.026467112283500904
