method,split_seed,partition,n_test,uar,recall_C,recall_NC
K2_only_5seed_mean_logit,42,canonical,4795,0.709,0.791252,0.626747
K2_only_5seed_mean_logit,1,shadow,4798,0.70309,0.761341,0.644838
K2_only_5seed_mean_logit,2,shadow,4805,0.693013,0.742188,0.643839
K2_only_5seed_mean_logit,3,shadow,4806,0.698321,0.761252,0.63539
K2_only_5seed_mean_logit,5,shadow,4789,0.687735,0.728,0.64747
K2_only_5seed_mean_logit,11,shadow,4786,0.704179,0.784,0.624358
K2_only_5seed_mean_logit,17,shadow,4798,0.689336,0.751984,0.626688
K2_only_5seed_mean_logit,23,shadow,4798,0.64428,0.645669,0.64289
K2_only_5seed_mean_logit,31,shadow,4809,0.68525,0.726562,0.643938
K2_only_5seed_mean_logit,53,shadow,4807,0.685643,0.735812,0.635475
K2_only_5seed_mean_logit,99,shadow,4788,0.690999,0.755511,0.626486
multi_K_5seed_mean_logit,42,canonical,4795,0.711058,0.801193,0.620923
multi_K_5seed_mean_logit,1,shadow,4798,0.701379,0.771203,0.631554
multi_K_5seed_mean_logit,2,shadow,4805,0.700351,0.767578,0.633124
multi_K_5seed_mean_logit,3,shadow,4806,0.699793,0.778865,0.620722
multi_K_5seed_mean_logit,5,shadow,4789,0.693323,0.752,0.634647
multi_K_5seed_mean_logit,11,shadow,4786,0.708113,0.804,0.612226
multi_K_5seed_mean_logit,17,shadow,4798,0.702708,0.785714,0.619702
multi_K_5seed_mean_logit,23,shadow,4798,0.651766,0.673228,0.630303
multi_K_5seed_mean_logit,31,shadow,4809,0.693013,0.75,0.636025
multi_K_5seed_mean_logit,53,shadow,4807,0.690773,0.755382,0.626164
multi_K_5seed_mean_logit,99,shadow,4788,0.699245,0.781563,0.616927
multi_K_with_K3_compare_lr,42,canonical,4795,0.712628,0.769384,0.655871
multi_K_with_K3_compare_lr,1,shadow,4798,0.704943,0.739645,0.67024
multi_K_with_K3_compare_lr,2,shadow,4805,0.703011,0.736328,0.669695
multi_K_with_K3_compare_lr,3,shadow,4806,0.700596,0.739726,0.661467
multi_K_with_K3_compare_lr,5,shadow,4789,0.695859,0.72,0.671718
multi_K_with_K3_compare_lr,11,shadow,4786,0.706478,0.762,0.650957
multi_K_with_K3_compare_lr,17,shadow,4798,0.700096,0.742063,0.658128
multi_K_with_K3_compare_lr,23,shadow,4798,0.64911,0.629921,0.668298
multi_K_with_K3_compare_lr,31,shadow,4809,0.690308,0.708984,0.671631
multi_K_with_K3_compare_lr,53,shadow,4807,0.693179,0.720157,0.666201
multi_K_with_K3_compare_lr,99,shadow,4788,0.697089,0.739479,0.654698
K3_only_compare_lr,42,canonical,4795,0.686765,0.769384,0.604147
K3_only_compare_lr,1,shadow,4798,0.69115,0.759369,0.622932
K3_only_compare_lr,2,shadow,4805,0.687503,0.755859,0.619147
K3_only_compare_lr,3,shadow,4806,0.678899,0.747554,0.610244
K3_only_compare_lr,5,shadow,4789,0.677127,0.728,0.626253
K3_only_compare_lr,11,shadow,4786,0.681213,0.76,0.602427
K3_only_compare_lr,17,shadow,4798,0.671446,0.738095,0.604797
K3_only_compare_lr,23,shadow,4798,0.639579,0.65748,0.621678
K3_only_compare_lr,31,shadow,4809,0.67115,0.720703,0.621596
K3_only_compare_lr,53,shadow,4807,0.675772,0.731898,0.619646
K3_only_compare_lr,99,shadow,4788,0.672072,0.737475,0.606668
multi_K_10seed_diverse_anchor,42,canonical,4795,0.708876,0.787276,0.630475
multi_K_10seed_diverse_anchor,1,shadow,4798,0.697514,0.753452,0.641575
multi_K_10seed_diverse_anchor,2,shadow,4805,0.699105,0.753906,0.644305
multi_K_10seed_diverse_anchor,3,shadow,4806,0.696342,0.761252,0.631432
multi_K_10seed_diverse_anchor,5,shadow,4789,0.69022,0.736,0.644439
multi_K_10seed_diverse_anchor,11,shadow,4786,0.705246,0.788,0.622492
multi_K_10seed_diverse_anchor,17,shadow,4798,0.702694,0.77381,0.631579
multi_K_10seed_diverse_anchor,23,shadow,4798,0.648554,0.65748,0.639627
multi_K_10seed_diverse_anchor,31,shadow,4809,0.69204,0.738281,0.645799
multi_K_10seed_diverse_anchor,53,shadow,4807,0.688532,0.739726,0.637337
multi_K_10seed_diverse_anchor,99,shadow,4788,0.699412,0.769539,0.629284
