method,split_seed,partition,n_test_chunks,devel_test_uar,recall_C,recall_NC
K2_only,42,canonical,4795,0.709,0.791252,0.626747
K2_only,1,shadow,4798,0.70309,0.761341,0.644838
K2_only,2,shadow,4805,0.693013,0.742188,0.643839
K2_only,3,shadow,4806,0.698321,0.761252,0.63539
K2_only,5,shadow,4789,0.687735,0.728,0.64747
K2_only,11,shadow,4786,0.704179,0.784,0.624358
K2_only,17,shadow,4798,0.689336,0.751984,0.626688
K2_only,23,shadow,4798,0.64428,0.645669,0.64289
K2_only,31,shadow,4809,0.68525,0.726562,0.643938
K2_only,53,shadow,4807,0.685643,0.735812,0.635475
K2_only,99,shadow,4788,0.690999,0.755511,0.626486
multi_K,42,canonical,4795,0.711058,0.801193,0.620923
multi_K,1,shadow,4798,0.701379,0.771203,0.631554
multi_K,2,shadow,4805,0.700351,0.767578,0.633124
multi_K,3,shadow,4806,0.699793,0.778865,0.620722
multi_K,5,shadow,4789,0.693323,0.752,0.634647
multi_K,11,shadow,4786,0.708113,0.804,0.612226
multi_K,17,shadow,4798,0.702708,0.785714,0.619702
multi_K,23,shadow,4798,0.651766,0.673228,0.630303
multi_K,31,shadow,4809,0.693013,0.75,0.636025
multi_K,53,shadow,4807,0.690773,0.755382,0.626164
multi_K,99,shadow,4788,0.699245,0.781563,0.616927
multi_K_with_K3_compare_lr,42,canonical,4795,0.712628,0.769384,0.655871
multi_K_with_K3_compare_lr,1,shadow,4798,0.704943,0.739645,0.67024
multi_K_with_K3_compare_lr,2,shadow,4805,0.703011,0.736328,0.669695
multi_K_with_K3_compare_lr,3,shadow,4806,0.700596,0.739726,0.661467
multi_K_with_K3_compare_lr,5,shadow,4789,0.695859,0.72,0.671718
multi_K_with_K3_compare_lr,11,shadow,4786,0.706478,0.762,0.650957
multi_K_with_K3_compare_lr,17,shadow,4798,0.700096,0.742063,0.658128
multi_K_with_K3_compare_lr,23,shadow,4798,0.64911,0.629921,0.668298
multi_K_with_K3_compare_lr,31,shadow,4809,0.690308,0.708984,0.671631
multi_K_with_K3_compare_lr,53,shadow,4807,0.693179,0.720157,0.666201
multi_K_with_K3_compare_lr,99,shadow,4788,0.697089,0.739479,0.654698
K3_only_compare_lr,42,canonical,4795,0.686765,0.769384,0.604147
K3_only_compare_lr,1,shadow,4798,0.69115,0.759369,0.622932
K3_only_compare_lr,2,shadow,4805,0.687503,0.755859,0.619147
K3_only_compare_lr,3,shadow,4806,0.678899,0.747554,0.610244
K3_only_compare_lr,5,shadow,4789,0.677127,0.728,0.626253
K3_only_compare_lr,11,shadow,4786,0.681213,0.76,0.602427
K3_only_compare_lr,17,shadow,4798,0.671446,0.738095,0.604797
K3_only_compare_lr,23,shadow,4798,0.639579,0.65748,0.621678
K3_only_compare_lr,31,shadow,4809,0.67115,0.720703,0.621596
K3_only_compare_lr,53,shadow,4807,0.675772,0.731898,0.619646
K3_only_compare_lr,99,shadow,4788,0.672072,0.737475,0.606668
compare_lr_standalone,42,canonical,4795,0.596428,0.22664,0.966216
compare_lr_standalone,1,shadow,4798,0.593799,0.216963,0.970636
compare_lr_standalone,2,shadow,4805,0.583071,0.199219,0.966923
compare_lr_standalone,3,shadow,4806,0.589261,0.21135,0.967171
compare_lr_standalone,5,shadow,4789,0.589078,0.208,0.970156
compare_lr_standalone,11,shadow,4786,0.588551,0.21,0.967102
compare_lr_standalone,17,shadow,4798,0.589323,0.210317,0.968328
compare_lr_standalone,23,shadow,4798,0.563304,0.155512,0.971096
compare_lr_standalone,31,shadow,4809,0.586506,0.201172,0.971841
compare_lr_standalone,53,shadow,4807,0.586165,0.203523,0.968808
compare_lr_standalone,99,shadow,4788,0.58346,0.198397,0.968524
multi_K_diverse_10seed,42,canonical,4795,0.708876,0.787276,0.630475
multi_K_diverse_10seed,1,shadow,4798,0.697514,0.753452,0.641575
multi_K_diverse_10seed,2,shadow,4805,0.699105,0.753906,0.644305
multi_K_diverse_10seed,3,shadow,4806,0.696342,0.761252,0.631432
multi_K_diverse_10seed,5,shadow,4789,0.69022,0.736,0.644439
multi_K_diverse_10seed,11,shadow,4786,0.705246,0.788,0.622492
multi_K_diverse_10seed,17,shadow,4798,0.702694,0.77381,0.631579
multi_K_diverse_10seed,23,shadow,4798,0.648554,0.65748,0.639627
multi_K_diverse_10seed,31,shadow,4809,0.69204,0.738281,0.645799
multi_K_diverse_10seed,53,shadow,4807,0.688532,0.739726,0.637337
multi_K_diverse_10seed,99,shadow,4788,0.699412,0.769539,0.629284
speaker_smoothing_best_alpha,42,canonical,4795,0.619882,0.489066,0.750699
speaker_smoothing_best_alpha,1,shadow,4798,0.595526,0.416174,0.774878
speaker_smoothing_best_alpha,2,shadow,4805,0.61615,0.453125,0.779175
speaker_smoothing_best_alpha,3,shadow,4806,0.581049,0.387476,0.774622
speaker_smoothing_best_alpha,5,shadow,4789,0.59356,0.386,0.801119
speaker_smoothing_best_alpha,11,shadow,4786,0.600308,0.44,0.760616
speaker_smoothing_best_alpha,17,shadow,4798,0.610392,0.454365,0.766418
speaker_smoothing_best_alpha,23,shadow,4798,0.552831,0.311024,0.794639
speaker_smoothing_best_alpha,31,shadow,4809,0.595288,0.392578,0.797999
speaker_smoothing_best_alpha,53,shadow,4807,0.570264,0.363992,0.776536
speaker_smoothing_best_alpha,99,shadow,4788,0.608135,0.422846,0.793425
