alpha,tau_at_train_threshold,train_threshold_uar,canonical_devel_test_uar,canonical_recall_C,canonical_recall_NC
0.0,0.525,0.840069,0.619882,0.489066,0.750699
0.1,0.05,0.813456,0.63998,0.550696,0.729264
0.2,-0.775,0.785743,0.668425,0.652087,0.684762
0.3,-0.625,0.752455,0.685239,0.671968,0.698509
0.4,-1.35,0.724164,0.699185,0.745527,0.652842
0.5,-1.45,0.700276,0.705164,0.765408,0.644921
0.6,-0.125,0.682362,0.707488,0.701789,0.713187
0.7,-0.225,0.674225,0.708047,0.719682,0.696412
0.75,-0.4,0.669606,0.705266,0.727634,0.682898
0.8,-0.375,0.664933,0.703573,0.725646,0.6815
0.85,-0.5,0.662046,0.705577,0.737575,0.673579
0.9,-1.05,0.659267,0.704698,0.765408,0.643989
0.95,-1.15,0.65638,0.708395,0.779324,0.637465
1.0,-1.375,0.652916,0.709,0.791252,0.626747
