layer,cold_uar,speaker_top1,n_pseudo,label_gain,speaker_gain,sub_at_1
0,0.6055334540205535,0.05478025411372631,189,0.10553345402055347,0.049489248822721016,0.05604420519783246
1,0.6187650285852633,0.06581962091230993,189,0.11876502858526328,0.06052861562130464,0.058236412963958636
2,0.6060976851164044,0.06248698187877526,189,0.10609768511640438,0.05719597658776997,0.048901708528634416
3,0.6013568600046588,0.05769631326806915,189,0.10135686000465882,0.05240530797706386,0.04895155202759496
4,0.598043234637599,0.06602791085190585,189,0.09804323463759901,0.060736905560900556,0.03730632907669845
5,0.5702053883725751,0.06394501145594668,189,0.07020538837257506,0.05865400616494139,0.011551382207633673
6,0.572797274816539,0.05602999375130181,189,0.07279727481653897,0.05073898846029652,0.02205828635624245
7,0.5737175607241967,0.044782337013122266,189,0.07371756072419666,0.039491331722116975,0.03422622900207969
8,0.5533632850401038,0.04019995834201208,189,0.05336328504010379,0.03490895305100679,0.018454331989097003
9,0.5570854678280519,0.03311810039575089,189,0.057085467828051906,0.027827095104745597,0.02925837272330631
10,0.5532009625631178,0.03603415955009373,189,0.05320096256311779,0.03074315425908844,0.022457808304029353
11,0.5495904337953563,0.03707560924807332,189,0.049590433795356326,0.03178460395706803,0.017805829838288295
12,0.5482863515226215,0.03457612997292231,189,0.04828635152262151,0.02928512468191702,0.019001226840704488
