layer,cold_uar,speaker_top1,n_pseudo,label_gain,speaker_gain,sub_at_1
0,0.5898338912264641,0.0189622838091269,200,0.08983389122646412,0.0139622838091269,0.07587160741733723
1,0.5882491346682328,0.0189622838091269,200,0.08824913466823281,0.0139622838091269,0.07428685085910591
2,0.5909365803265008,0.019587414044592622,200,0.09093658032650076,0.014587414044592621,0.07634916628190813
3,0.581781664341346,0.019795790789747865,200,0.08178166434134604,0.014795790789747864,0.06698587355159817
4,0.5852985969033715,0.020212544280058347,200,0.08529859690337149,0.015212544280058346,0.07008605262331315
5,0.5885524373588034,0.020629297770368826,200,0.08855243735880336,0.015629297770368825,0.07292313958843454
6,0.593320723294198,0.019379037299437383,200,0.09332072329419805,0.014379037299437382,0.07894168599476067
7,0.5917440088527621,0.017920400083350697,200,0.09174400885276213,0.012920400083350696,0.07882360876941143
8,0.5844831262603145,0.017086893102729737,200,0.08448312626031451,0.012086893102729736,0.07239623315758478
9,0.583147445547976,0.016045009376953533,200,0.08314744554797604,0.011045009376953532,0.07210243617102251
10,0.582697546556963,0.01583663263179829,200,0.08269754655696304,0.01083663263179829,0.07186091392516475
11,0.5776259579309977,0.014586372160866848,200,0.07762595793099769,0.009586372160866847,0.06803958577013085
12,0.5679970166044437,0.012710981454469682,200,0.06799701660444368,0.007710981454469682,0.060286035149974
13,0.5723997308877945,0.013336111689935403,200,0.0723997308877945,0.008336111689935404,0.06406361919785909
14,0.5731910751804651,0.011252344238382997,200,0.07319107518046508,0.0062523442383829965,0.06693873094208208
15,0.573229217791552,0.012085851219003959,200,0.073229217791552,0.007085851219003959,0.06614336657254805
16,0.5795500918179963,0.010627214002917275,200,0.07955009181799633,0.005627214002917275,0.07392287781507906
17,0.568181755515973,0.010418837257762034,200,0.06818175551597305,0.005418837257762034,0.06276291825821102
18,0.5653316293236718,0.008960200041675349,200,0.06533162932367176,0.003960200041675349,0.06137142928199641
19,0.5731288062189919,0.008126693061054386,200,0.07312880621899187,0.003126693061054386,0.07000211315793749
20,0.581863923707425,0.007084809335278183,200,0.08186392370742501,0.002084809335278183,0.07977911437214683
21,0.5742073689686422,0.009793707022296311,200,0.07420736896864222,0.004793707022296311,0.0694136619463459
22,0.5810484530643681,0.010835590748072515,200,0.08104845306436814,0.005835590748072514,0.07521286231629563
23,0.5710619822025658,0.010835590748072515,200,0.07106198220256577,0.005835590748072514,0.06522639145449326
24,0.572451889759582,0.011460720983538238,200,0.07245188975958206,0.0064607209835382375,0.06599116877604382
