layer,cold_uar,speaker_top1,n_pseudo,label_gain,speaker_gain,sub_at_1
0,0.5884982105141257,0.020420921025213586,200,0.08849821051412565,0.015420921025213585,0.07307728948891207
1,0.5849571516017139,0.01833715357366118,200,0.08495715160171391,0.013337153573661178,0.07161999802805273
2,0.6121889079448761,0.01833715357366118,200,0.11218890794487613,0.013337153573661178,0.09885175437121495
3,0.5858649917005354,0.017503646593040215,200,0.08586499170053541,0.012503646593040214,0.0733613451074952
4,0.6004791263411953,0.01833715357366118,200,0.10047912634119527,0.013337153573661178,0.08714197276753409
5,0.6018851181318025,0.01812877682850594,200,0.10188511813180245,0.01312877682850594,0.08875634130329652
6,0.5829144539356741,0.01812877682850594,200,0.08291445393567409,0.01312877682850594,0.06978567710716815
7,0.5903079165678635,0.016878516357574494,200,0.09030791656786352,0.011878516357574493,0.07842940021028903
8,0.5777043111260618,0.017086893102729737,200,0.0777043111260618,0.012086893102729736,0.06561741802333207
9,0.5859433448955995,0.017503646593040215,200,0.08594334489559952,0.012503646593040214,0.07343969830255931
10,0.573635000027573,0.01562825588664305,200,0.07363500002757295,0.01062825588664305,0.0630067441409299
11,0.5724158151213854,0.01562825588664305,200,0.0724158151213854,0.01062825588664305,0.06178755923474234
12,0.5642470924301163,0.015003125651177328,200,0.06424709243011628,0.010003125651177329,0.05424396677893895
13,0.5765313109477566,0.015003125651177328,200,0.07653131094775656,0.010003125651177329,0.06652818529657922
14,0.5684629998290476,0.014169618670556366,200,0.06846299982904758,0.009169618670556365,0.05929338115849121
15,0.5764148151416055,0.014169618670556366,200,0.07641481514160553,0.009169618670556365,0.06724519647104917
16,0.5704896132614965,0.013127734944780162,200,0.0704896132614965,0.008127734944780161,0.062361878316716336
17,0.5758865629555284,0.012919358199624921,200,0.07588656295552842,0.007919358199624922,0.06796720475590351
18,0.5706061090676475,0.011043967493227756,200,0.07060610906764753,0.006043967493227755,0.06456214157441977
19,0.5707226048737986,0.012085851219003959,200,0.07072260487379856,0.007085851219003959,0.0636367536547946
20,0.5587557053074295,0.011460720983538238,200,0.05875570530742946,0.0064607209835382375,0.05229498432389122
21,0.5610233524689758,0.012085851219003959,200,0.06102335246897583,0.007085851219003959,0.053937501249971875
22,0.5681355707880907,0.0122942279641592,200,0.06813557078809074,0.0072942279641592,0.06084134282393154
23,0.5731448904525828,0.011669097728693479,200,0.07314489045258277,0.0066690977286934785,0.06647579272388929
24,0.5711945622423076,0.012502604709314441,200,0.07119456224230758,0.007502604709314441,0.06369195753299314
