pair_id,audio_a,audio_b,same_speaker,confidence_1_3,notes,annotator_id
SP001,dataset/ComParE2017_Cold_4students/wav/devel_2443.wav,dataset/ComParE2017_Cold_4students/wav/devel_9181.wav,,,,
SP002,dataset/ComParE2017_Cold_4students/wav/devel_2199.wav,dataset/ComParE2017_Cold_4students/wav/devel_5813.wav,,,,
SP003,dataset/ComParE2017_Cold_4students/wav/test_1478.wav,dataset/ComParE2017_Cold_4students/wav/test_1978.wav,,,,
SP004,dataset/ComParE2017_Cold_4students/wav/train_3938.wav,dataset/ComParE2017_Cold_4students/wav/train_7203.wav,,,,
SP005,dataset/ComParE2017_Cold_4students/wav/devel_2063.wav,dataset/ComParE2017_Cold_4students/wav/devel_2158.wav,,,,
SP006,dataset/ComParE2017_Cold_4students/wav/devel_1613.wav,dataset/ComParE2017_Cold_4students/wav/devel_7910.wav,,,,
SP007,dataset/ComParE2017_Cold_4students/wav/train_6704.wav,dataset/ComParE2017_Cold_4students/wav/train_2140.wav,,,,
SP008,dataset/ComParE2017_Cold_4students/wav/test_3840.wav,dataset/ComParE2017_Cold_4students/wav/test_6205.wav,,,,
SP009,dataset/ComParE2017_Cold_4students/wav/train_3979.wav,dataset/ComParE2017_Cold_4students/wav/train_3306.wav,,,,
SP010,dataset/ComParE2017_Cold_4students/wav/train_3702.wav,dataset/ComParE2017_Cold_4students/wav/train_8196.wav,,,,
SP011,dataset/ComParE2017_Cold_4students/wav/train_5570.wav,dataset/ComParE2017_Cold_4students/wav/train_3276.wav,,,,
SP012,dataset/ComParE2017_Cold_4students/wav/test_5220.wav,dataset/ComParE2017_Cold_4students/wav/test_9480.wav,,,,
SP013,dataset/ComParE2017_Cold_4students/wav/train_5594.wav,dataset/ComParE2017_Cold_4students/wav/train_5816.wav,,,,
SP014,dataset/ComParE2017_Cold_4students/wav/test_1753.wav,dataset/ComParE2017_Cold_4students/wav/test_0469.wav,,,,
SP015,dataset/ComParE2017_Cold_4students/wav/test_0905.wav,dataset/ComParE2017_Cold_4students/wav/test_4364.wav,,,,
SP016,dataset/ComParE2017_Cold_4students/wav/train_8179.wav,dataset/ComParE2017_Cold_4students/wav/train_6689.wav,,,,
SP017,dataset/ComParE2017_Cold_4students/wav/test_1531.wav,dataset/ComParE2017_Cold_4students/wav/test_8344.wav,,,,
SP018,dataset/ComParE2017_Cold_4students/wav/devel_5981.wav,dataset/ComParE2017_Cold_4students/wav/devel_6481.wav,,,,
SP019,dataset/ComParE2017_Cold_4students/wav/devel_8275.wav,dataset/ComParE2017_Cold_4students/wav/devel_0206.wav,,,,
SP020,dataset/ComParE2017_Cold_4students/wav/test_4040.wav,dataset/ComParE2017_Cold_4students/wav/test_1759.wav,,,,
SP021,dataset/ComParE2017_Cold_4students/wav/devel_9508.wav,dataset/ComParE2017_Cold_4students/wav/devel_9256.wav,,,,
SP022,dataset/ComParE2017_Cold_4students/wav/train_1708.wav,dataset/ComParE2017_Cold_4students/wav/train_6095.wav,,,,
SP023,dataset/ComParE2017_Cold_4students/wav/test_6976.wav,dataset/ComParE2017_Cold_4students/wav/test_3704.wav,,,,
SP024,dataset/ComParE2017_Cold_4students/wav/test_2733.wav,dataset/ComParE2017_Cold_4students/wav/test_3478.wav,,,,
SP025,dataset/ComParE2017_Cold_4students/wav/test_3968.wav,dataset/ComParE2017_Cold_4students/wav/test_0056.wav,,,,
SP026,dataset/ComParE2017_Cold_4students/wav/train_2930.wav,dataset/ComParE2017_Cold_4students/wav/train_5229.wav,,,,
SP027,dataset/ComParE2017_Cold_4students/wav/test_4965.wav,dataset/ComParE2017_Cold_4students/wav/test_3441.wav,,,,
SP028,dataset/ComParE2017_Cold_4students/wav/devel_6461.wav,dataset/ComParE2017_Cold_4students/wav/devel_1031.wav,,,,
SP029,dataset/ComParE2017_Cold_4students/wav/devel_5097.wav,dataset/ComParE2017_Cold_4students/wav/devel_2256.wav,,,,
SP030,dataset/ComParE2017_Cold_4students/wav/devel_3229.wav,dataset/ComParE2017_Cold_4students/wav/devel_2433.wav,,,,
